Unit;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;Index;%;%;%;%;%;%;%;%;;;Index;%;%;Index;;%;;%;%;;%;%
Series Id;CPI.Q.C.ia;CPI.Q.C.iaq;CPI.Q.C.iay;CPIT.Q.C.ia;CPIT.Q.C.iaq;CPIT.Q.C.iay;CPIN.Q.C.ia;CPIN.Q.C.iaq;CPIN.Q.C.iay;CPI.Q.C01.ia;CPI.Q.C01.iaq;CPI.Q.C01.iay;CPI.Q.C04.ia;CPI.Q.C04.iaq;CPI.Q.C04.iay;CPI.Q.C07.ia;CPI.Q.C07.iaq;CPI.Q.C07.iay;CPI.Q.C07202.ia;CPI.Q.C07202.iaq;CPI.Q.C07202.iay;CPI.Q.ZC21.ia;CPI.Q.ZC21.iaq;CPI.Q.ZC21.iay;CPI.Q.ZC40.iaq;CPIM.Q.C40T10B17.iay;CPI.Q.ZC41.iaq;CPIW.Q.C41P50B17.iay;CPI.Q.ZC42.iay;CPI.Q.ZC43.iay;CPI.Q.ZC431.iay;CPI.Q.ZC432.iay;HPI.Q.H01T0.ia;HPI.Q.H01T0.iaq;HPI.Q.H01T0.iay;GDE.Q.DY.RS;GDE.Q.DY.rsq;GDE.Q.DY.rsy;PPI06.Q.T0I1.ia;PPI06.Q.T0I1.iaq;PPI06.Q.T0I1.iay;PPI06.Q.T0I2.ia;PPI06.Q.T0I2.iaq;PPI06.Q.T0I2.iay
jun 1998;681;0,5;1,7;;;;;;;648;0,7;2,7;;;;;;;448;-5,6;-6,9;;;;;;;;1,5;1,4;0,8;2,4;688;-2,9;-1,9;769;0,3;0,8;665;0,7;1,3;693;0,7;1,2
set 1998;685;0,5;1,7;;;;;;;657;1,4;3,8;;;;;;;448;-0,1;-6,9;;;;;;;;1,4;1,4;1,1;2,3;677;-1,7;-4,1;771;0,3;1,3;665;0,0;0,8;696;0,3;1,2
dez 1998;679;-0,8;0,4;;;;;;;658;0,3;4,1;;;;;;;443;-1,2;-8,8;;;;;;;;1,4;1,3;1,5;2,1;690;1,9;-3,6;772;0,1;1,2;664;-0,2;0,1;695;-0,1;0,4
mar 1999;677;-0,3;-0,1;;;;;;;664;0,8;3,3;;;;;;;433;-2,2;-8,9;;;;;;;;1,4;1,4;1,7;2,1;701;1,6;-1,1;767;-0,6;0,0;659;-0,7;-0,2;691;-0,5;0,4
jun 1999;679;0,2;-0,4;846;;;573;;;660;-0,6;1,9;537;;;743;;;432;-0,1;-3,6;690;;;;;;;1,6;1,5;1,7;2,2;705;0,6;2,4;775;1,0;0,8;664;0,7;-0,2;695;0,5;0,2
set 1999;681;0,4;-0,5;846;0,0;;578;0,7;;656;-0,6;-0,1;542;0,9;;760;2,3;;466;7,7;4,0;690;0,1;;;;;;1,6;1,5;1,5;2,3;706;0,1;4,3;777;0,3;0,8;674;1,5;1,3;702;1,1;1,0
dez 1999;683;0,2;0,5;850;0,4;;578;0,1;;653;-0,4;-0,8;542;0,1;;778;2,3;;495;6,3;11,9;690;0,0;;;;;;1,6;1,6;1,2;2,4;705;-0,1;2,2;773;-0,5;0,1;684;1,6;3,1;710;1,1;2,2
mar 2000;687;0,7;1,5;854;0,5;;583;0,8;;662;1,4;-0,2;545;0,5;;778;0,0;;518;4,5;19,6;695;0,6;;;;;;1,8;1,7;1,1;2,6;705;-0,1;0,5;777;0,5;1,3;694;1,5;5,3;716;0,9;3,6
jun 2000;692;0,7;2,0;860;0,7;1,6;587;0,7;2,3;660;-0,4;0,0;547;0,4;1,9;791;1,7;6,4;540;4,3;24,9;699;0,6;1,3;;;;;1,9;1,8;1,1;2,7;698;-1,0;-1,0;784;0,9;1,2;703;1,2;5,9;724;1,1;4,2
set 2000;702;1,4;3,0;873;1,6;3,2;594;1,3;2,9;668;1,2;1,8;551;0,6;1,7;819;3,5;7,7;611;13,1;31,1;705;0,9;2,1;;;;;2,4;2,2;1,4;3,0;697;-0,1;-1,2;793;1,1;2,1;731;4,0;8,5;744;2,8;5,9
dez 2000;710;1,2;4,0;888;1,7;4,6;598;0,7;3,5;677;1,4;3,6;554;0,6;2,2;834;1,8;7,2;610;-0,1;23,1;713;1,2;3,3;;;;;3,0;2,7;2,1;3,3;697;-0,1;-1,2;809;2,0;4,7;758;3,7;10,8;760;2,1;7,0
mar 2001;708;-0,2;3,1;887;-0,2;3,9;598;-0,1;2,6;694;2,5;4,8;544;-1,9;-0,3;811;-2,7;4,3;556;-8,7;7,5;715;0,2;2,9;0,4;;0,6;;3,0;3,0;2,7;3,3;701;0,6;-0,5;820;1,4;5,5;750;-1,0;8,0;759;-0,1;6,0
jun 2001;715;0,9;3,2;900;1,5;4,7;599;0,3;2,2;699;0,8;6,0;544;0,0;-0,6;837;3,2;5,9;592;6,4;9,6;719;0,6;2,9;0,8;;0,2;;3,2;3,2;2,8;3,4;700;-0,2;0,3;822;0,2;4,8;761;1,4;8,2;769;1,3;6,2
set 2001;719;0,6;2,4;905;0,5;3,6;603;0,7;1,5;712;1,8;6,6;547;0,5;-0,8;826;-1,3;0,9;568;-4,1;-7,0;725;0,9;2,9;0,6;;0,3;;3,0;3,2;2,9;3,4;706;0,9;1,3;820;-0,2;3,4;776;2,0;6,2;780;1,4;4,8
